format_name,animal,exper_name,session_name,path,session_datetime,experience_rank,experience_orientation_rank,session_uid,is_bad_session,good_only_experience_rank,good_only_experience_orientation_rank,is_excluded,is_known_good
kdiba,vvp01,two,2006-4-09_16-40-54,W:/Data/KDIBA/vvp01/two/2006-4-09_16-40-54,2006-04-09 16:40:54,0,0,kdiba|vvp01|two|2006-4-09_16-40-54,False,0,0,False,True
kdiba,vvp01,one,2006-4-09_17-29-30,W:/Data/KDIBA/vvp01/one/2006-4-09_17-29-30,2006-04-09 17:29:30,1,0,kdiba|vvp01|one|2006-4-09_17-29-30,False,1,0,False,True
kdiba,vvp01,one,2006-4-10_12-25-50,W:/Data/KDIBA/vvp01/one/2006-4-10_12-25-50,2006-04-10 12:25:50,2,1,kdiba|vvp01|one|2006-4-10_12-25-50,False,2,1,False,True
kdiba,vvp01,two,2006-4-10_12-58-3,W:/Data/KDIBA/vvp01/two/2006-4-10_12-58-3,2006-04-10 12:58:03,3,1,kdiba|vvp01|two|2006-4-10_12-58-3,False,3,1,False,True
kdiba,vvp01,two,2006-4-10_19-11-57,W:/Data/KDIBA/vvp01/two/2006-4-10_19-11-57,2006-04-10 19:11:57,4,2,kdiba|vvp01|two|2006-4-10_19-11-57,True,-1,-1,True,False
kdiba,vvp01,one,2006-4-10_21-2-40,W:/Data/KDIBA/vvp01/one/2006-4-10_21-2-40,2006-04-10 21:02:40,5,2,kdiba|vvp01|one|2006-4-10_21-2-40,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-11_12-48-38,W:/Data/KDIBA/vvp01/two/2006-4-11_12-48-38,2006-04-11 12:48:38,6,3,kdiba|vvp01|two|2006-4-11_12-48-38,False,4,2,False,False
kdiba,vvp01,one,2006-4-11_15-16-59,W:/Data/KDIBA/vvp01/one/2006-4-11_15-16-59,2006-04-11 15:16:59,7,3,kdiba|vvp01|one|2006-4-11_15-16-59,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-11_16-2-46,W:/Data/KDIBA/vvp01/two/2006-4-11_16-2-46,2006-04-11 16:02:46,8,4,kdiba|vvp01|two|2006-4-11_16-2-46,False,5,3,False,False
kdiba,vvp01,one,2006-4-12_14-39-31,W:/Data/KDIBA/vvp01/one/2006-4-12_14-39-31,2006-04-12 14:39:31,9,4,kdiba|vvp01|one|2006-4-12_14-39-31,True,-1,-1,True,False
kdiba,vvp01,two,2006-4-12_14-59-23,W:/Data/KDIBA/vvp01/two/2006-4-12_14-59-23,2006-04-12 14:59:23,10,5,kdiba|vvp01|two|2006-4-12_14-59-23,True,-1,-1,True,False
